no,nama,npsn,nama singkat,kode_pos,telepon,fax,email,alamat,kota,provinsi,Negara,lintang,bujur,akreditasi,Status ,rank_qs,rank_country
1704,Akademi Teknik Taman Siswa,104039,NULL,0,NULL,NULL,NULL, ,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
1705,Akademi Teknik Alat Berat Indonesia,74136,Akabi,NULL,3414386770,NULL,info@akabi.ac.id,NULL,Malang,Jawa Timur,Indonesia,-7.9486681,112.658614,Baik,swasta,NULL,NULL
1706,Akademi Teknik Radiodiagnostik dan Radioterapi Nusantara,34234,ATRO NUSANTARA,0,218509138,218509132,atronjakarta@yahoo.com,"Jln. Utan Kaya Raya No. 67
Matraman - Jakarta Timur ",NULL,NULL,Indonesia,0,0,Baik,swasta,NULL,NULL
1707,Sekolah Tinggi Ilmu Ekonomi Surakarta,63004,STIE Surakarta,57121,62271717785,0271 724810,bau.stiesurakarta@gmail.com,Jl Slamet Riyadi 435-437 Makamhaji,Sukoharjo,Jawa Tengah,Indonesia,-7.566862,110.78028,B,swasta,NULL,NULL
1708,Institut Teknologi Del ,12005,IT Del,22381,(0632) 331234,(0632) 331116,info@del.ac.id,"Institut Teknologi Del
Jl. Sisingamangaraja Sitoluama-Laguboti",NULL,NULL,Indonesia,0,0,Baik Sekali,swasta,NULL,NULL
1709,Akademi Akuntansi Bhakti,24018,NULL,33138,7177002108,NULL,NULL,Jl Ahmad Rasjidi Hamzah ,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
1710,AMIK Sultan Agung,44068,AMIK SA,17112,87881278970,87881278970,pendidikansultanagungkarawang@gmail.com,Ir H Juanda No 139 ,Bekasi,Jawa Barat,Indonesia,-6.2764595,106.9129603,NULL,swasta,NULL,NULL
1711,Universitas Nusa Tenggara Barat,81017,UNTB,81325,0370 636875,0370 636875,universitasntb@gmail.com,Jalan Tawak-Tawak Karang Sukun Mataram,Mataram,Nusa Tenggara Barat,Indonesia,-8.5900151,116.1126078,NULL,swasta,NULL,NULL
1712,STIA Amal Ilmiah Wamena,123038,NULL,99501,6296931751,6296934053,info@stiawamena.net,Jalan Yos Sudarso Kabupaten Jayawijaya,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
1713,STEI Al-Ishlah Bobos Dukupuntang Cirebon,213104,STEI AL-ISHLAH CIREB,45652,0231 8344763,0231 8344570,infostei2005@gmail.com,Jl. Imam Bonjol No.13 Ponpes Al-Ishlah Bobos Dukupuntang Cirebon ,Cirebon,Jawa Barat,Indonesia,-6.777565,108.403983,NULL,swasta,NULL,NULL
1714,Politeknik Zanjabila Banten,45063,POLZAN,NULL,82125042758,NULL,politeknikzanjabilabanten@gmail.com,NULL,Serang,Banten,Indonesia,-6.1061131,106.1374854,Baik,swasta,NULL,NULL
1715,STMIK Tidore Mandiri,123045,STMIK-TM,97812,81340100082,NULL,info@stmik-tm.ac.id,Jl Sultan Zainal Abidin Syah No 25,Tidore Kepulauan,Maluku Utara,Indonesia,0.6588948,127.4487959,Baik,swasta,NULL,NULL
1716,Politeknik Santo Paulus Surakarta,65028,POLSAPA Surakarta,57146,2717468481,NULL,admin@politekniksantopaulussurakarta.ac.id,Jl. dr. Rajiman 656 R Surakarta,Surakarta,Jawa Tengah,Indonesia,-7.5708957,110.7868356,NULL,swasta,NULL,NULL
1717,Sekolah Tinggi Teologi Presbyterian Medan,233383,STTPM,NULL,NULL,NULL,sttpresby@gmail.com,NULL,Deli Serdang,Sumatera Utara,Indonesia,3.50366,98.67157,NULL,swasta,NULL,NULL
1718,Sekolah Tinggi Teologi Pantekosta Batam,233213,NULL,0,7783582631,7783582631, pantekostastt@gmail.com, ,Batam,Kepulauan Riau,Indonesia,1.054362,103.962782,NULL,swasta,NULL,NULL
1719,Universitas Islam Al-azhar,81012,UNIZAR,83233,(0370) 6175565,(0370) 671650,admin@unizar.ac.id,JALAN UNIZAR NO.20 TURIDE SANDUBAYA MATARAM NUSA TENGGARA BARAT,Mataram,Nusa Tenggara Barat,Indonesia,-8.607129,116.143505,Baik,swasta,NULL,NULL
1720,Universitas Global Jakarta,41082,JGU,16412,218461155,218463692,enquiry@jgu.ac.id,Jl. Boulevard Grand Depok City Tirta Jaya Kec. Sukma jaya,Depok,Jawa Barat,Indonesia,-6.4186945,106.8274547,Baik,swasta,NULL,NULL
1721,Akademi Keperawatan Muhammadiyah Samarinda,114046,NULL,75123,541748511,541748511,akpermuhsmd@telkom.net,Jalan Ir H Juanda No 15 ,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
1722,Sekolah Tinggi Ilmu Ekonomi Jambatan Bulan,143013,NULL,99971,811493835, ,stie.jb@hotmail.com,"Jl. Hasanuddin, Nawaripi",Mimika,Papua Tengah,Indonesia,-4.564756,136.877098,Baik,swasta,NULL,NULL
1723,STMIK Rosma,43139,STMIK Rosma,41311,267405312,267405312,stmik@rosma.ac.id,"Jl. Parahiyangan, Adiarsa Barat, Kec. Karawang Barat",Karawang,Jawa Barat,Indonesia,-6.3149104,107.3090231,Baik,swasta,NULL,NULL
1724,STMIK LPKIA Bandung,43243,NULL,40266,227564283,227564283,sekretariat@pknlpkia.ac.id,Jalan Soekarno Hatta No 456 ,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
1725,Sekolah Tinggi Ilmu Kesehatan Karimun,103109,STIKES KARIMUN,29422,(0778) 451455,(0778) 451455,stikeskarimunYWP@gmail.com,"JL. PRAMBANAN NO. 99, KOMP. WIDYA SEI. JODOH, Batam ",Batam,Kepulauan Riau,Indonesia,1.1474442,104.0131069,NULL,swasta,NULL,NULL
1726,Akademi Farmasi Yayasan Al-Fatah,24118,AKFAR AL-FATAH,-    ,73627508,73627508,info@akfar-alfatah.ac.id,AKADEMI FARMASI AL-FATAH BENGKULU,Bengkulu,Bengkulu,Indonesia,-3.81404,102.282754,NULL,swasta,NULL,NULL
1727,Universitas Merdeka Pasuruan,71031,unmerpas,67129,343413619,343420926,unmerpas@gmail.com,Jalan Ir H Juanda No 68 ,Pasuruan,Jawa Timur,Indonesia,-7.6494977,112.9195458,Baik,swasta,NULL,NULL
1728,Institut Agama Islam Al-Amanah Jeneponto,212099,IAI AL-Amanah Jepot,37211,82344000700,(0419) 2425858 ,iaialamanahjeneponto@gmail.com,"Karisa Jalan ke Pannara Kelurahan Empong Selatan, Kecamatan Binamu, Kabupaten Jeneponto, Provinsi Sulaweei Selatan",Jeneponto,Sulawesi Selatan,Indonesia,-5.6736772,119.7749905,Baik,swasta,NULL,NULL
1729,Sekolah Tinggi Ilmu Ekonomi Muara Teweh,113036,Stie Muara Teweh,73811,(0519)24215,(0519)24215,"stie_mute@yahoo.com,stie-info@stiemuarateweh.ac.id",jl.achmad yani no.7 Muara Teweh ,Barito Utara,Kalimantan Tengah,Indonesia,-0.9400102,114.8921387,Baik,swasta,NULL,NULL
1730,Sekolah Tinggi Teknologi Jakarta,33006,STTJ,17411,"8461155, 8483069",8463692,enquiry@sttj.ac.id,Jl Jatiwaringin Raya No 278 Pondok Gede,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
1731,Politeknik Pembangunan Pertanian Yogyakarta - Magelang,445004,Polbangtan Yoma,NULL,(0293) 364188,(0293) 313032,info@polbangtanyoma.ac.id,NULL,Magelang,Jawa Tengah,Indonesia,-7.4657492,110.2553292,Baik Sekali,swasta,NULL,NULL
1732,STID Al-Biruni Babakan Ciwaringin,213030,STID Al-Biruni ,45167,231343773,231343773,support@stidalbiruni.ac.id,Jl. Pesantren Babakan Ciwaringin No. 1 Cirebon Jawa Barat ,Cirebon,Jawa Barat,Indonesia,-6.6903184,108.3672774,Baik,swasta,NULL,NULL
1733,Universitas Bojonegoro,71046,UNIVERSITAS BOJONEGO,62119,"353,881,984,885,444",353885444,rektorat@unigoro.ac.id,Jl Lettu Sujitno No 2 Ds. Kalirejo ,Bojonegoro,Jawa Timur,Indonesia,-7.1354713,111.9239044,Baik,swasta,NULL,NULL
1734,STIKES Mitra Bunda Persada,103122,STIKes MITRA BUNDA P,29454,778429431,778429431,stikesmitrabundapersada@gmail.com,"Jalan Seraya No 1, Batam ",Batam,Kepulauan Riau,Indonesia,1.148698,104.016694,NULL,swasta,NULL,NULL
1735,Sekolah Tinggi Bahasa Asing Methodist,23047,NULL,30125,711368221,711368220,NULL,"Jl Jenderal Sudirman Km 3,5 ",NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
1736,Sekolah Tinggi Ilmu Hukum Muhammadiyah Kotabumi,23050,STIH-M Kotabumi,34517,72422258,7243290072,stihmkotabumi@yahoo.com,Jl Hasan Kepala Ratu No 1052 Sendangsari,Lampung Utara,Lampung,Indonesia,-4.812844,104.873053,NULL,swasta,NULL,NULL
1737,Universitas Nahdlatul Ulama Nusa Tenggara Barat,81032,NULL,83125,0370 630021,0370 630021,unu.ntb@gmail.com,Jl. Pendidikan No. 06 Mataram,Mataram,Nusa Tenggara Barat,Indonesia,-8.581283,116.096937,Baik,swasta,NULL,NULL
1738,Sekolah Tinggi Ilmu Administrasi Pembangunan,73058,STIA PEMBANGUNAN,68135,331486182,331486182,stia.pembangunan@yahoo.co.id,Jalan Lumba-lumba No 9 Jember,Jember,Jawa Timur,Indonesia,-8.186404,113.659232,Baik,swasta,NULL,NULL
1739,Akademi Komunitas Multistrada,46001,NULL,17550,2189140333,2189143312,secretariat@multistrada.ac.id,"Jl. Raya Lemahabang Km. 58,3 Karangsari",NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
1740,Institut Sains Dan Teknologi Td Pardede,12004,ISTP,20153,614569877,614569877,iistp@yahoo.com,Jalan Dr T D Pardede No 8 Medan,Medan,Sumatera Utara,Indonesia,3.5798044,98.6640608,Baik,swasta,NULL,NULL
1741,Akademi Kebidanan Baruna Husada Sibuhuan,14180,NULL,22763,82277567437, ,barunahusada@gmail.com,Jalan Lintas Sibuhuan-Gunung Tua Km.8 Desa Sangkilon Kecamatan Lubuk Barumun Kab,NULL,NULL,Indonesia,0,0,Baik,swasta,NULL,NULL
1742,Institut Agama Islam Al Mawaddah Warrahmah Kolaka Sulawesi Tenggara,214006,IAI Al-Mawar,NULL,NULL,NULL,staialmawaddahkolaka.com,NULL,Kolaka,Sulawesi Tenggara,Indonesia,-4.0577659,121.5980489,Baik,swasta,NULL,NULL
1743,Politeknik Unggul LP3M,15003,PULMED,20156,"6,145,307,014,530,700",614530704,info@politeknikunggul.ac.id,Jalan Iskandar Muda No 3EF Medan,Medan,Sumatera Utara,Indonesia,3.5723396,98.660531,Baik,swasta,NULL,NULL
1744,Universitas Darma Persada,31023,UNSADA,13450,"0218649051,56,57",218649052,humas@unsada.ac.id,"Jalan Taman Malaka Selatan, Kel. Pondok Kelapa, Kec. Duren Sawit, Kota Jakarta Timur Provinsi DKI Jakarta",Pangandaran,Jawa Barat,Indonesia,-7.7235538,108.7137805,B,swasta,NULL,NULL
1745,AMIK Catur Sakti Kendari,94026,NULL,93111,0401 3127274,0401 3122666,yapsin_catursakti@yahoo.co.id,Jalan Abdullah Silondae No 109 ,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
1746,Politeknik Yakpermas Banyumas,65034,LAMPT-KES,NULL,(0281) 6596816,(0281) 6596816,info@politeknikyakpermas.ac.id,"Jl. Raya Jompo Kulon, Sokaraja, Dusun II Jompo Kulon, Jompo Kulon",Banyumas,Jawa Tengah,Indonesia,-7.4346409,109.3355219,Baik,swasta,NULL,NULL
1747,Sekolah Tinggi Ilmu Kepolisian,483001,NULL,12160,217222234,217207142,admin@stik-ptik.ac.id, Jl. Tirtayasa Raya No. 6  RT 9/4 Kel. Melawai Kec. Kebayoran Baru Jakarta Selat,Administrasi Jakarta Selatan,DKI Jakarta,Indonesia,-6.244313,106.80576,Baik Sekali,swasta,NULL,NULL
1748,Akademi Farmasi Surabaya ,74129,AKFAR SURABAYA,60231,318280996,318280996,info@akfarsurabaya.ac.id, JL Ketintang Madya No 81 Surabaya (Belakang SMA Al Falah Ketintang Surabaya),Surabaya,Jawa Timur,Indonesia,-7.2958957,112.7365494,Baik Sekali,swasta,NULL,NULL
1749,Institut Agama Islam Sultan Muhammad Syafiuddin Sambas,212047,IAIS Sambas,-    ,(0562) 6303087,NULL,humas@iaisambas.ac.id,-,Sambas,Kalimantan Barat,Indonesia,1.381502,109.316241,Baik,swasta,NULL,NULL
1750,Stba Persahabatan Internasional Asia,13158,STBA-PIA,20115,061 6616247,616616342,info@stbapia.ac.id," Jl. K.L Yos Sudarso No.17 Lorong 12 Lingkungan IX Glugur Kota
 Medan ",Medan,Sumatera Utara,Indonesia,3.614273,98.6696585,Baik,swasta,NULL,NULL
1751,STAI Darussalam (STAIDA) Blokagung Tegalsari Banyuwangi,213214,STAIDA,68485,(0333) 847459 / 0852,(0333) 846221,staida_bwi@yahoo.co.id,Jl. Pon. Pes. Darussalam Dsn. Blokagung Desa Karangdoro Kec. Tegalsari Kab. Bany,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
1752,STISI TELKOM,43324,STISI Telkom,40257,(022) 88884024,(022) 8888 4028,info@stisitelkom.ac.id, Jl. Telekomunikasi - Terusan Buahbatu - Dayeuh Kolot,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
1753,Akademi Kebidanan Wiyata Mitra Husada Nganjuk,74103,Akbid WIMISADA,64314,3582801015,NULL,sekretariat@wimisada.ac.id,Jl. Panglima Sudirman No. 139 Kertosono - Nganjuk ,Gresik,Jawa Timur,Indonesia,-5.8588848,112.1993768,Baik,swasta,NULL,NULL
1754,Politeknik Elbajo Commodus,155002,PLC,NULL,85237062402,NULL,elbajo.commodus@gmail.com,NULL,Manggarai Barat,Nusa Tenggara Timur,Indonesia,-8.4954736,119.9063756,Baik,swasta,NULL,NULL
1755,Universitas Dipa Makassar,91070,UNDIPA,90245,411587194,NULL,dipanegara@dipanegara.ac.id,"Jalan Perintis Kemerdekaan KM. 9, Kota Makassar",Makassar,Sulawesi Selatan,Indonesia,-5.1403,119.48307,B,swasta,NULL,NULL
1756,Institut Teknologi dan Bisnis Kristen Regent,72036,NULL,NULL,NULL,NULL,ypgr.surabaya@gmail.com,NULL,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
1757,Politeknik Penerbangan Jayapura,425020,Poltekbang Jayapura,     ,(0967) 541049,(0967) 541562,poltekbang.jayapura@dephub.go.id,NULL,Jayapura,Papua,Indonesia,-2.5251578,140.7378244,Baik,swasta,NULL,NULL
1758,Universitas Agung Podomoro,31057,Podomoro University,11470,6.22E+11,6.22E+11,rektorat@podomorouniversity.ac.id,"APL Tower lantai 5, Jl. S. Parman Kav. 28, Jakarta Barat ",Administrasi Jakarta Barat,DKI Jakarta,Indonesia,-6.177309,106.790768,Baik Sekali,swasta,NULL,NULL
1759,Akademi Ilmu Pelayaran Nusa Tenggara,84046,AIP-NUSRA,NULL,87771669488,NULL,info@aipnusra.ac.id,"Jl. Raya Labuhan Haji, Montong Meong, ",Lombok Timur,Nusa Tenggara Barat,Indonesia,-8.706314,116.559071,Baik,swasta,NULL,NULL
1760,Institut Seni Indonesia Padang Panjang,2009,ISI Padangpanjang,27115,75282077,75283038,isi@isi-padangpanjang.ac.id, Jln. Bundo Kanduang No 35 Padangpanjang Sumatera Barat,Padang Panjang,Sumatera Barat,Indonesia,-0.458821,100.403793,B,negeri,NULL,NULL
1761,IKIP PGRI Wates,52001,IPW,55652,(0274)773283,274773283,ikippgriwates@yahoo.co.id,Jl. KRT Kertodiningrat No 5 Pengasih Kulonprogo DIY,Kulon Progo,Daerah Istimewa Yogyakarta,Indonesia,-7.8562863,110.1725466,Baik Sekali,swasta,NULL,NULL
1762,Akademi Pariwisata Bhakti Nusantara,34213,Akpar Bhakti Nusanta,14250,"214,483,237,544,832,000",2144832375,bhatara_17@yahoo.co.id,"Jl. Raya Pegangsaan Dua KM. 5 Kelapa Gading 
Jakarta Utara",NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
1763,Sekolah Tinggi Ilmu Komunikasi Almamater Wartawan Surabaya,73010,STIKOSA AWS,60119,315922018,315922018,info@stikosa-aws.ac.id,Jl Nginden Intan Timur I18 ,Surabaya,Jawa Timur,Indonesia,-7.3080486,112.7719545,Baik Sekali,swasta,NULL,NULL
1764,AMIK Purnama Niaga,44102,AMIK PURNAMA NIAGA,45211,"(0234) 7008175, 2744",NULL,amik.purnamaniaga@yahoo.com,JL. Ir. H. DJUANDA NO. 256 INDRAMAYU,NULL,NULL,Indonesia,0,0,Baik,swasta,NULL,NULL
1765,STMIK Syaikh Zainuddin Nahdlatul Wathan,83048,STMIK SZ NW,83652,376631645,376631645,stmikmaulana@gmail.com dan kontak@stmiksznw.ac.id,Jl. Raya Mataram-Lb. Lombok Km. 49 Anjani Lombok Timur - NTB,Lombok Timur,Nusa Tenggara Barat,Indonesia,-8.59633,116.50049,Baik,swasta,NULL,NULL
1766,Sekolah Tinggi Ilmu Ekonomi KH. Bahaudin Mudhary Madura,73179,NULL,NULL,(0328) 6771010,NULL,info@stiebamadura.ac.id,NULL,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
1767,Politeknik Pariwisata Medan,385002,Poltekpar Medan,NULL,061 6632182,061 6620311,info@poltekparmedan.ac.id,Medan,NULL,NULL,Indonesia,0,0,Baik Sekali,swasta,NULL,NULL
1768,Institut Kesehatan Prima Nusantara Bukittinggi,102004,IKESPNB,NULL,(0752) 32325,(0752) 32325,ikespnb@gmail.com,NULL,NULL,NULL,Indonesia,0,0,Baik,swasta,NULL,NULL
1769,Sekolah Tinggi Agama Islam (STAI) Wakatobi,213095,STAI Wakatobi,93791,0404  21125,0404  21125,staiwakatobi2013@gmail.com,"Jln. Ediarto Rusmin, BAE., S.Sos No. 17 Wangi-Wangi, Kab. Wakatobi, Sulawesi Ten",Wakatobi,Sulawesi Tenggara,Indonesia,-5.3236323,123.5399294,Baik,swasta,NULL,NULL
1770,Universitas Iqra Buru,121007,UNIQBU,97571,91321909,91321909,humas@uniqbu.ac.id,"Jl. Prof. Dr. ABDURRACHMAN BASSALAMA, M.Si",Buru,Maluku,Indonesia,-3.274182,127.105006,Baik,swasta,NULL,NULL
1771,Universitas Fajar,91045,NULL,90231,4.11E+14,411459065, info@unifa.ac.id,Jl Racing Centre No 101 ,Makassar,Sulawesi Selatan,Indonesia,-5.14949,119.44971,B,swasta,NULL,NULL
1772,STEBIS Al-Ulum Terpadu Medan ,213552,STEBIS AL ULUM ,-    ,42065275,NULL,stebialulum@yahoo.com,-,Medan,Sumatera Utara,Indonesia,3.615457,98.698304,NULL,swasta,NULL,NULL
1773,Politeknik Bhakti Semesta,65040,POLIBEST,NULL,(0298) 322388,NULL,sekretariat@bhaktisemesta.ac.id,NULL,Salatiga,Jawa Tengah,Indonesia,-7.3434296,110.5067203,Baik,swasta,NULL,NULL
1774,Universitas Islam Bunga Bangsa Cirebon ,211007,UIBBC,NULL,(0231) 246215,NULL,staibbc.cirebon@gmail.com,NULL,Cirebon,Jawa Barat,Indonesia,-6.7133685,108.54357,Baik,swasta,NULL,NULL
1775,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Meranti,173144,STKIP MERANTI,28752,85265144005,NULL,kampus@stkipmeranti.ac.id,JL. Utama No. 09 Bagan Melibur Kec. Merbau,Kepulauan Meranti,Riau,Indonesia,1.0556216,102.4213835,NULL,swasta,NULL,NULL
1776,Institut Agama Islam As'adiyah Sengkang,212071,NULL,90911,NULL,NULL,NULL,JL. VETERAN NO 46 SENGKANG,Wajo,Sulawesi Selatan,Indonesia,-4.1278748,120.0324883,Baik,swasta,NULL,NULL
1777,Sekolah Tinggi Teologi Makedonia Ngabang,233373,STT MAKEDONIA,NULL,0811 578 885,NULL,info@makedonia.ac.id ,"Jl. Raya Ngabang - Pontianak, km.14, Desa Amboyo Inti Plasma V, Kec. Ngabang, Kab. Landak,
Kalimantan Barat",Landak,Kalimantan Barat,Indonesia,0.3852982,109.8554022,NULL,swasta,NULL,NULL
1778,Sekolah Tinggi Ilmu Kesehatan Fatmawati,33221,STIKes Fatmawati,NULL,217660607,2175913075,stikesfatmawati.ykfs@gmail.com,NULL,Depok,Jawa Barat,Indonesia,-6.3157251,106.7943192,Baik,swasta,NULL,NULL
1779,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Al Maksum,13192,STKIP AL MAKSUM,20814,81361981355,NULL,ops.stkipalmaksum@gmail.com,Jl. Sei Batang Serangan no.04. Kwala Bingai Stabat ,Langkat,Sumatera Utara,Indonesia,3.751675,98.45577,Baik,swasta,NULL,NULL
1780,Sekolah Tinggi Teknologi Bengkulu,23129,NULL,     ,NULL,NULL,NULL,NULL,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
1781,STMIK Dharma Putra,43233,NULL,15113,021 55767065,021 55767066,info@dharmaputra.ac.id,Jl Otto Iskandardinata No 80 Pasar Baru,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
1782,Akademi Bisnis Internasional Samarinda,114052,NULL,75123,0541 202745,0541 202745,abisnas@gmail.com,Jl Moh Yamin No 6 ,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
1783,Akademi Kebidanan Mamba ul Ulum Surakarta,64065,AKBIDMUS,57127,(0271)858172,(0271)858176,info@akbid-mu.ac.id,"Jl.Ring Road Utara Tawangsari, Mojosongo, Jebres ",NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
1784,Universitas Binawan,31064,UBN,NULL,021 80880882,021 80880883,ubinawan@binawan.ac.id,Jl. Kalibata Raya No. 25-30,Administrasi Jakarta Timur,DKI Jakarta,Indonesia,-6.2578952,106.8630588,Baik Sekali,swasta,NULL,NULL
1785,Sekolah Tinggi Manajemen Yaksi,33123,NULL,12230,217207687,217207687,NULL,Jl Ciledug Raya No 77 ,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
1786,Politeknik Borneo Medistra,115027,Poltek Bormed,NULL,0542  730555,0542  732422,info@poltekborneomedistra.ac.id,NULL,Balikpapan,Kalimantan Timur,Indonesia,-1.2322325,116.8482524,Baik,swasta,NULL,NULL
1787,Institut Pertanian Bogor,2003,IPB,16680,2518622642,2518622708,ict@apps.ipb.ac.id,"Jl. Raya Darmaga Kampus IPB Darmaga Bogor 16680
Jawa Barat, Indonesia ",Bogor,Jawa Barat,Indonesia,-6.560261,106.723326,Unggul,negeri,489,5
1788,Sekolah Tinggi Ilmu Kesehatan Audi Husada Medan,13191,NULL,NULL,NULL,NULL,NULL," Jl. Bunga N'Cole Raya No.83, Kemenangan Tani",NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
1789,Sekolah Tinggi Ilmu Ekonomi IPWI Jakarta,33074,STIE  IPWIJA,12950,218233737,NULL,contact@stieipwija.ac.id," Jl. H. Baping No.17 Ciracas, Jakarta Timur",Administrasi Jakarta Timur,DKI Jakarta,Indonesia,-6.3137146,106.8747842,B,swasta,NULL,NULL
1790,Akademi Keperawatan Baiturrahmah,104025,AKPER Baiturrahmah,25142,751463058, , akperypb@yahoo.com,Jalan Raya By Pass Km 15 Aie Pacah,Padang,Sumatera Barat,Indonesia,-0.871859,100.382561,Baik,swasta,NULL,NULL
1791,Sekolah Tinggi Ilmu Dakwah dan Komunikasi Islam Al Mardliyyah Pamekasan,213595,STIDKIS,69353,8563313595,NULL,stidkis.am@gmail.com,Jl. Raya Tagang ser Laok Kecamatan Waru Kabupaten Pamekasan,Pamekasan,Jawa Timur,Indonesia,-6.934804,113.537057,Baik,swasta,NULL,NULL
1792,Sekolah Tinggi Ilmu Syariah Nahdlatul Ulama (STISNU) Nusantara Tangerang,213520,STISNU Nusantara,15118,021 222 524 32, ,stisnunusantara@gmail.com,"Jl. Perintis Kemerdekaan II Cikokol RT. 007/003 
Kel. Babakan
Kec. Tangerang",Tangerang,Banten,Indonesia,-6.193434,106.629091,Baik,swasta,NULL,NULL
1793,Sekolah Tinggi Teologi Internasional Cornerstone Denpasar,233392,NULL,80237,NULL,NULL,NULL,Jalan Gatot Subroto Timur Nomor 320,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
1794,Sekolah Tinggi Ilmu Manajemen Publik Makassar,93091,STIM Publik Makassar,90144,411449569,411422872, stimpublikmakassar@gmail.com,Jalan Maccini Tengah No 50-54 Makassar,Murung Raya,Kalimantan Tengah,Indonesia,0.1988094,114.3827258,Baik,swasta,NULL,NULL
1795,STIS Sentra Bisnis Islami Surabaya,213249,STIS SBI SURABAYA,60177,"(031)70 440 008, 848",(031) 8484 745,info.stis.sbi.sby@gmail.com,Jl. KALIDAMI No 14-16 Surabaya ,Surabaya,Jawa Timur,Indonesia,-7.3292317,112.7477382,NULL,swasta,NULL,NULL
1796,Akademi Sekretari Dan Manajemen Bhakti,44006,NULL,42414,254374020,254392984,NULL,Jalan Paus No 35 Kav Blok C ,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
1797,Universitas Pembangunan Nasional Veteran Yogyakarta,1062,NULL,     ,0274 486733,0274 486400, info@upnyk.ac.id," Jl. SWK 104 (Lingkar Utara), Condongcatur, Yogyakarta",Sleman,Daerah Istimewa Yogyakarta,Indonesia,-7.76211,110.409282,B,negeri,NULL,NULL
1798,Akademi  Keperawatan Pemkab Aceh Utara,344001,NULL,0,64541868,41868, akper.acut@yahoo.com, ,Lhokseumawe,Aceh,Indonesia,5.124171,97.155863,NULL,swasta,NULL,NULL
1799,Sekolah Tinggi Ilmu Tarbiyah Al Bukhary Labuhan Batu,213589,STITA,NULL,6247671096,NULL,stitalabuhanbatu2645@gmail.com,Jl. Sempurna /Al Bukhary Kelurahan Bajaran Batu Kecamatan Rantau Selatn Kabupate,Labuhanbatu,Sumatera Utara,Indonesia,2.0824778,99.8464292,Baik,swasta,NULL,NULL
1800,Politeknik Negeri Sambas,5038,POLTESA,79460,0562 6303333,0562 392592,info@poltesa.ac.id,"Jalan Raya Sejangkung - Sambas , Kalimantan Barat",Sambas,Kalimantan Barat,Indonesia,1.382326,109.317657,Baik Sekali,negeri,NULL,NULL
1801,Akademi Kebidanan Muhammadiyah Cirebon,44195,NULL,12345,0231 487677,0231 487677,AkbidMuhammadiyah_Crb@yahoo.co.id,Jalan Kali Tanjung Timur 1418 ,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
1802,Sekolah Tinggi Teologi Mitra,233357,STT Mitra,     ,"0811238112, ",NULL,stt.mitra@yahoo.com,"Jl. Raya Purwakarta, KM. 12,5, Kampung Cirangrang, Kabupaten Bandung, Jawa Barat",Magetan,Jawa Timur,Indonesia,-7.7670982,111.3065539,Baik,swasta,NULL,NULL
1803,Politeknik Bhakti Kartini,45050,Poltek Bhani,     ,2182624738,NULL,admin@poltekbhani.ac.id,NULL,Bekasi,Jawa Barat,Indonesia,-6.2948668,106.9962417,Baik,swasta,NULL,NULL
1804,Sekolah Tinggi Ilmu Tarbiyah Otto Iskandar Dinata Banten,213711,STIT OTISTA BANTEN,15311,82110238927,NULL,otistabanten@gmail.com,"Jalan Raya Puspitek Serpong, Gang Salem III Nomor 164/I RT 02 RW 07 Kelurahan Serpong Kecamatan Serpong",Tangerang Selatan,Banten,Indonesia,-6.3237804,106.6702535,NULL,swasta,NULL,NULL
1805,Sekolah Tinggi Ilmu Kesehatan Bala Keselamatan Palu,163055,STIKes BK PALU,NULL,+62 8114491899,NULL,stikesbkpalu@gmail.com,NULL,Palu,Sulawesi Tengah,Indonesia,-0.9031866,119.8715044,Baik,swasta,NULL,NULL
