campus_name,alamat,kota
Stkip Pembangunan Indonesia,Jalan Ap Pettarani No 99 B Makassar,Nan
Akademi Kebidanan Palu Sulawesi Tengah,Jalan Cenderawasih No 44 Palu Sulawesi Tengah.,Palu
Sekolah Tinggi Agama Islam Al Bayan Sulawesi Selatan,Nan,Makassar
Amik Bsi Tasikmalaya,"Jl. Tanuwijaya No.4, Empang Sari, Tawang, Tasikmalaya",Nan
Akademi Kebidanan Farama Mulya,Jl Raya Hankam No. 9 Jatiwarna Pondok Gede,Bogor
Sekolah Tinggi Manajemen Informatika Komputer Stella Maris Sumba,Jl. Pastoran No. 05 Tambolaka Kab. Sumba Barat Daya,Sumba Barat Daya
Akademi Keperawatan Pemkab Aceh Tenggara,Jl. Kutacane Blangkejeren Km. 4 Kab. Aceh Tenggara,Nan
Sekolah Tinggi Manajemen Informatika Komputer Mataram,Jln. Kampus Amikom-Asm Mataram Kekalek Mataram,Aceh Besar
Stt Tabernakel Kemuliaan-Nya,Perum Asabri Jl. Bowejo Blok A2 No 26 - 28 Rt 04 Rw 18 Jatisari Jati Asih Bekas,Nan
Institut Teknologi Muhammadiyah Sumatera,Nan,Musi Rawas
Akademi Kebidanan Kholisatur Rahmi Binjai,Jl Samanhudi Pasar Iii,Binjai
Universitas Kartamulia Purwakarta,Nan,Purwakarta
Stai Taruna Surabaya,Jl. Kalirungkut Mejoyo 1/2 Surabaya,Surabaya
Stikes Muhammadiyah Lhokseumawe,Jl Darussalam No 47,Lhokseumawe
Sekolah Tinggi Teologi Obaja Jakarta,-,Bekasi
"Sekolah Tinggi Ilmu Hukum Prof. Dr. Yohanes Usfunan, Sh, Mh","Jl. Pendidikan No. 6 Nasipanaf, Penfui",Ngada
Sekolah Tinggi Teologi Injili Humble Bengkayang,,Bengkayang
Akademi Manajemen Informatika & Komputer Aster,Jl Palagan Tentara Pelajar 1-A Ngaglik Sleman,Nan
Akademi Keperawatan Yarsi Samarinda,Jalan Gurami No 14 Kelurahan Sungai Dama,Samarinda
Institut Agama Islam Sunan Giri (Insuri) Ponorogo,Jl.Batoro Katong 32 Ponorogo,Ponorogo
Universitas Yapis Papua,Jl Sam Ratulangi No 11,Jayapura
Stikes Senior Medan,Nan,Nan
Sekolah Tinggi Ilmu Kesehatan Karya Persada Muna,Nan,Nan
Sekolah Tinggi Ilmu Kesehatan Budhi Luhur Cimahi,Jalan Kerkof No 243 Leuwigajah Cimahi Selatan,Cimahi
Institut Kesehatan Dan Bisnis Surabaya,"Raya Medokan Semampir Indah No. 27, Surabaya",Surabaya
Sekolah Tinggi Teologi Duta Panisal Jember,Jl. Cempaka 48 Gebang Jember Jawa Timur,Jember
Institut Agama Islam Muhammad Azim Jambi,Nan,Jambi
Akademi Teknologi Aeronautika Siliwangi,Pajajaran No 120,Bandung
Politeknik Kesehatan Wira Husada Nusantara Malang,Nan,Nan
Sekolah Tinggi Desain Lasalle,Jakarta,Nan
Sekolah Tinggi Ilmu Ekonomi Assholeh,Jalan Sindoro No 39 Pemalang,Pemalang
Akademi Manajemen Perusahaan Panca Bhakti,Jalan St Abdurachman No 8,Pontianak
Sekolah Tinggi Teknologi Nuklir Yogyakarta,Sekolah Tinggi Teknologi Nuklir Jalan Babarsari Kotak Pos 6101 Ykbb Yogyakart,Sleman
Sekolah Tinggi Teknologi Kreatif Bina Nusantara Bandung,"Jl. Pasirkaliki No. 25-27, Paskal Hyper Square Bandung",Nan
Akademi Akuntansi Ypk Medan,Jl Sakti Lubis Gang Pegawai Nomor Delapan Simpang Limun,Medan
Akademi Kebidanan Al-Fathonah,Jl Cipinang Timur Raya No 58,Administrasi Jakarta Timur
Akademi Kebidanan Agung Husada,"Jl. Letjen Yusuf Singadikane Ruko No 3,4,5 (Depan Makam Pahlawan) Kelurahan Jua",Ogan Komering Ilir
"Stai Kharisma Cicurug, Sukabumi",Jalan Raya Siliwangi No. 39 Ciutara Kecamatan Cicurug,Sukabumi
Sekolah Tinggi Ilmu Ekonomi Widya Manggala,Jalan Sriwijaya No 32 & 36 Semarang,Semarang
Universitas Internasional Batam,Jl Gajah Mada Baloi Sei Ladi,Batam
Universitas Madani Indonesia,Nan,Nan
Universitas Timor,Jln. El Tari - Km. 09 Kelurahan Sasi - Kecamatan Kota Kefamenanu Kabupaten Ttu,Nan
Stisip Widuri,Jalan Palmerah Barat No 353 Jakarta Selatan.,Kepulauan Sangihe
Akademi Komunitas Toyota Indonesia,"Jl. Kikt, Lot Kjie-Toyota, Desa Marga Mulya",Karawang
Sekolah Tinggi Ilmu Ekonomi Koperasi Malang,Jl Wr Supratman No 9,Malang
Politeknik Purbaya,Jalan Pancakarya No 1 Kajen Talang,Tegal
Sekolah Tinggi Teologi Amadeus Surabaya,Nan,Pasuruan
"Stai Bumi Silampari Lubuk Linggau, Sumatera Selatan",Jl. Yos Sudarso Kelurahan Moneng Sepati Kota Lubuklinggau Sumatera Selatan,Lubuk Linggau
Sekolah Tinggi Ilmu Kesehatan Pgi Cikini,Nan,Administrasi Jakarta Pusat
Sekolah Tinggi Teknologi Muhammadiyah Kebumen,Jl. Pahlawan 188 Mertokondo,Nan
Akademi Kesehatan Yayasan Rumah Sakit Jakarta,Nan,Nan
Sekolah Tinggi Agama Islam Idrisiyyah,Nan,Tasikmalaya
Stkip Pangeran Dharma Kusuma Segeran Juntinyuat Indramayu,Jl. Kh. Hasyim Asyari No. 1/1 Segeran Kidul Kec. Juntinyuat Kab. Indramayu,Indramayu
Universitas Andi Sudirman,Nan,Bone
Akademi Kebidanan Bambapuang Prima Persada,Enrekang,Nan
Stikesmas Abdi Nusa,Jl.Re.Martadinata No.1 Palembang,Nan
Ikip Muhammadiyah Maumere,"Jl Jenderal Sudirman Kelurahan Waioti Kecamatan Alok Timur, Maumere",Sikka
Stai Riyadhul Jannah Subang,Jalan Raya Prapatan Bandung Jalancagak Subang Jawa Barat,Subang
Institut Agama Islam Al-Fatimah Bojonegoro,Nan,Bojonegoro
Stiper Santo Thomas Aquinas Jayapura,Jalan Akuatan-Kemiri I No 04 Sentani,Jayapura
Sekolah Tinggi Teologi Abdi Filadelfia Internasional,,Administrasi Jakarta Timur
Politeknik Sttt Bandung,Jalan Jakarta No. 31 Bandung 40272,Bandung
Politeknik Manahijul Huda,Nan,Tasikmalaya
Akademi Farmasi Putera Indonesia Malang,Jalan Barito No 5,Malang
Akademi Kebidanan Mitra Husada Karanganyar,Jl. Ahmad Yani No. 167 Papahan Tasikmadu,Nan
Universitas Stella Maris Sumba,Nan,Sumba Barat Daya
Institut Teknologi Dan Bisnis Muhammadiyah Bali,Nan,Jembrana
Universitas Tribuana Kalabahi,"Jl. Soekarno-Hatta , Batunirwala, Kalabahi",Alor
Institut Informatika Indonesia Surabaya,Jalan Raya Sukomanunggal Jaya No. 3,Surabaya
Stt Gereja Kristen Sumba,"Jl. Pametikarata-Lewa, Kab. Sumba Timur, Ntt",Sumba Timur
Sekolah Tinggi Ilmu Al-Qur'An As-Syifa,Nan,Subang
Sekolah Tinggi Filsafat Teologi Fajar Timur,Nan,Jayapura
Politeknik Tugu 45 Medan,Jalan Murai I Blok H No 69 Kecamatan Medan Sunggal,Nan
Institut Agama Islam Negeri Kerinci,"Jalan Kapten Muradi, Desa Sungai Liuk, Kecamatan Pesisir Bukit Kota Sungai Penuh",Sungai Penuh
Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Samaritan,Jln. Lintas Seram No. 2 Dewa Waipia Kec. Tns Kabupaten Maluku Tengah,Maluku Tengah
Sekolah Tinggi Ilmu Kesehatan Kesdam Ix/Udayana,Jl. Taman Kanak-Kanak Komp. Pb Sudirman Denpasar,Denpasar
Stikes Karsa Husada Garut,"Jl Nusa Indah No.24, Tarogong Kidul, Garut",Garut
Universitas Yatsi Madani,Nan,Tangerang
Stikes Tengku Maharatu,Jalan Kaswari No 10 A-D Sukajadi Jalan Soekarno Hatta No.98 Pekanbaru,Pekanbaru
Akademi Teknologi Aub,"Jl. Walanda Maramis No.29 Cengklik,Nusukan Surakarta",Surakarta
Sekolah Tinggi Ilmu Ekonomi Bulungan Tarakan,Jalan Gunung Amal Kampung Enam,Tarakan
Sekolah Tinggi Ilmu Ekonomi Ypbi,Jl Raya Bekasi Km 24 Blok A4,Nan
Sekolah Tinggi Teologi Paulus Jakarta,Jl. Kramat No. 3A,Nan
Sekolah Tinggi Ilmu Ekonomi Hidayatullah Depok,Kelurahan Kalimulya Kecamatan Cilodong,Nan
Universitas Sisingamangaraja Xii Tapanuli Utara,Jl Sisingamangaraja Xii No 9 Silangit,Aceh Tenggara
Universitas Muhammadiyah Bangka Belitung,Nan,Pangkal Pinang
Universitas Samudra Langsa,Desa Meurandeh Langsa Timur,Nan
Akademi Keperawatan Kesdam Iskandar Muda Lhokseumawe,Jl. Alkalali No.9 Hagu Selatan Lhokseumawe,Lhokseumawe
Institut Pembina Rohani Islam Jakarta (Iprija),"Jl. Kelapa Dua Wetan Rt. 07 Rw. 01 No. 1 Kelapa Dua Wetan, Ciracas",Nan
Institut Pahlawan 12,Nan,Bangka
Sekolah Tinggi Agama Islam Kuningan,Nan,Kuningan
Universitas Nasional Pasim,Jalan Terusan Pasteur No 167,Bandung
Akademi Keperawatan Jayapura,Jalan Kesehatan,Nan
Institut Teknologi Bisnis Dan Bahasa Dian Cipta Cendikia,Nan,Kepulauan Anambas
Sekolah Tinggi Manajemen Informatika Dan Komputer Pesat Nabire,Nan,Nabire
Institut Daarul Qur'An Jakarta,"Jl. Thamrin Ketapang No 35 Rt 07/05 Ketapang, Cipondoh Kota Tangerang Propinsi Banten Kode Pos 15147",Tangerang
Stit Tangerang Raya Yayasan Purgantorio,Jl. Raya Kampung Melayu Timur Km.8 Kec. Teluknaga Kab. Tangerang Banten,Nan
Stik Trinita Manado,Gedung Graha Trinita Jl.El Manibang No.27 Malalayang 2 .Manado,Nan
Institut Elkatarie,"Jl. Taman Sari Dusun Kembang Kuning Sepakat, Desa Banjar Sari, Kecamatan Labuhan Haji, Kabupaten Lombok Timur, Provinsi Nusa Tenggara Barat",Lombok Timur
Sekolah Tinggi Ilmu Ekonomi Pelita Indonesia,Jl Jend. Ahmad Yani No 78-88,Pekanbaru
Stkip Pgri Sumatera Barat,Jalan Gunung Panggilun,Padang
Stes Harapan Bima Nusa Tenggara Barat,Bima - Nusa Tenggara Barat,Bima
Politeknik Kediri,Jalan Mayor Bismo No 27,Kediri
Akademi Keperawatan Darmo Medan,Jalan Tali Air No 23,Nan
Universitas Islam Balitar,Jalan Majapahit No 4,Blitar
Akademi Keperawatan Jayakarta Prov Dki Jakarta,"Jl. Tanah Merdeka V Kav . 26 Kel . Rambutan , Kec . Ciracas Jak Tim",Administrasi Jakarta Timur
Institut Agama Islam Tazkia,"Jalan Ir. H. Djuanda Nomor 78 Sentul City, Kelurahan/Desa Citaringgul, Kecamatan Babakan Madang, Kabupaten Bogor, Provinsi Jawa Barat",Nunukan
Institut Teknologi Sepuluh Nopember,Kampus Its Sukolilo,Surabaya
Sekolah Tinggi Teknologi Bina Tunggal,"Jalan H Wahab Affan No 1 Pondok Ungu, Medan Satria, Kota Bekasi",Bekasi
Sekolah Tinggi Teologi Huperetes Batam,"Orchid Park Blok A, No:12A Batam, Batam Center",Nan
Sekolah Tinggi Ekonomi Dan Bisnis Islam Lampung,Jl. Tritura No. 07 Kec. Kedondong Kab. Pesawaran-Prop. Lampung,Pesawaran
Universitas Pignatelli Triputra,Nan,Surakarta
Politeknik Banjarnegara,Jl Raya Madukara Km 02 Kenteng Banjarnegara,Banjarnegara
Stkip Pancakarya,-,Tangerang
Amik Andalan Jakarta,Nan,Nan
Stie Muhammadiyah Paciran Lamongan,Jalan Raya No 155 Paciran,Nan
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Wonosobo,Nan,Wonosobo
Amik New Media,"Jl. Tukad Barito No. 5X, Renon - Denpasar Bali",Kepulauan Talaud
"Stit Hamzah Al-Fansuri Sibolga Barus (Stit Hasiba) Tapanuli Tengah, Sumatera Uta",Jl. Barus - Sibolga Km 4,Nan
Universitas Cenderawasih,Kampus Uncen Waena Jl Camp Wolker,Jayapura
Stmik Bina Insani,Komp Sentra Niaga Kalimalang Blok B2 No 11-22,Nan
Akademi Kebidanan Pelita Ilmu Depok,Jalan Bojongsari Raya No 34,Nan
Universitas Santo Borromeus,Nan,Bandung Barat
Universitas Bale Bandung,Jl Raa Wiranatakusumah Baleendah,Bandung
Sekolah Tinggi Ilmu Kesehatan Papua,Jl. Kanal Victory Pantai Km 10,Sorong
Stimik Tunas Bangsa Banjarnegara,Jalan Kali Semi No 9-11 Parakancanggah,Banjarnegara
Institut Agama Islam Pangeran Dharma Kusuma Segeran Indramayu,"Jalan Kh. Hasyim Asy'Ari No. 1/1, Kelurahan Segeran Kidul Juntinyuat, Kecamatan Haurgelis",Nan
Stt Baptis Independen Jakarta,"Jl. Pal Merah Utara I No. 26 Rt. 02/016. Kel. Pal Merah, Kec. Pal Merah. Jakart",Nan
Universitas Slamet Riyadi,Jalan Sumpah Pemuda No. 18 Kadipiro Banjarsari Surakarta Jawa Tengah,Surakarta
Sekolah Tinggi Ilmu Hukum Saumlaki,Nan,Kepulauan Tanimbar
Stmik Balikpapan,"Jalan Manunggal Bds Balikpapan Selatan, Balikpapan, Kalimantan Timur",Nan
Institut Teknologi Dan Bisnis Muhammadiyah Purbalingga,Nan,Purbalingga
Stikes Yarsi Mataram,"Jalan Tgh Ali Batu Lingkar Selatan, Pagutan",Lombok Barat
Sekolah Tinggi Ilmu Ekonomi Ykp,"Jalan Godean Km.3 Tambak, Kasihan Bantul",Yogyakarta
Sekolah Tinggi Ilmu Kesehatan Sehati,Jl. Pembangunan No. 130C Helvetia Medan,Medan
Sekolah Tinggi Ilmu Ekonomi Santa Ursula,Jalan Kh Mansyur No 19-25,Kepulauan Talaud
Sekolah Tinggi Teologi Lintas Budaya Jakarta,"Perkantoran Plaza Pasifik Blok B3 No. 55,57 Jl. Boulevard Barat Raya Kelapa Gad",Administrasi Jakarta Utara
Institut Agama Islam Negeri Batusangkar,-,Tanah Datar
Universitas Islam Batang Hari,"Jalan Gajah Mada Kelurahan Teratai, Kecamatan Muara Bulian",Nan
Akademi Keperawatan Kesdam I/Bukit Barisan Medan,Medan,Medan
Akademi Sekretari Marsudirini Santa Maria,Jalan Stonen Selatan Iii1 Bendan Ngisor,Wonosobo
Akademi Maritim Indonesia Aipi,Jalan Gatot Subroto Baru No 54,Nan
Akademi Keperawatan Ypib Majalengka,Jalan Gerakan Koperasi No.003 Majalengka 45411,Majalengka
"Sekolah Tinggi Teologi Bethel The Way, Jakarta","Jl. Tanjung Duren Barat I Blok G No. 1D - 1L, Tanjung Duren",Administrasi Jakarta Barat
Universitas Negeri Surabaya,Jalan Ketintang,Surabaya
Universitas 45 Surabaya,Jalan Mayjen Sungkono,Surabaya
Sekolah Tinggi Ilmu Ekonomi Mahardhika,"Graha Mahardhika, Jl. Raya Wisata Menanggal No. 42A",Nan
Sekolah Tinggi Ilmu Kesehatan Perdhaki Charitas,Jl Kol Burlian Lrg Suka Senang Km 7,Nan
Institut Teknologi Padang,Jalan Gajah Mada Kandis Nanggalo,Padang
Universitas Preston Indonesia,Jl Kapten Muslim No 92,Nan
Sekolah Tinggi Sains Dan Teknologi Mnukwar,Nan,Nan
Universitas Efarina,Jl. Sutomo Griya Hapoltakan Pematang Raya - Simalungun Kav 1-10,Simalungun
Universitas Widya Gama Mahakam Samarinda,"Kampus Biru,Gedung Uwigama,Jl.K.H.Wahid Hasyim,Sempaja Samarinda 75124 - Kalima",Samarinda
Sekolah Tinggi Ilmu Ekonomi Gentiaras,Jl Purnawirawan No 14 Gedong Meneng Bandar Lampung,Bandar Lampung
Akademi Keperawatan Rspad Gatot Subroto,Jl. Dr. Abdurrahman Saleh No. 24,Administrasi Jakarta Pusat
Akademi Manajemen Indonesia Jayapura,Jayapura,Nan
Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Cilacap,Jl Urip Sumoharjo No 21 A Mertasinga Kecamatan Cilacap Utara Kabupaten Cilaca,Cilacap
Sekolah Tinggi Pariwisata Ars Internasional,Jl Sekolah Internasional No 1 Antapani,Nan
Sekolah Tinggi Ilmu Kesehatan Surabaya,Jl Medokan Semampir Indah 27,Surabaya
Universitas Islam Negeri Syarif Hidayatullah,Jl Ir H Juanda No 95 Ciputat,Tangerang Selatan
Akademi Kebidanan Dewi Sartika Bandung,"Jalan Terusan Kopo Km 12,8 Katapang Kab. Bandung",Nan
Stmik Kaputama,Jalan Veteran No 4A-9A,Binjai
Stisip Kartika Bangsa,"Jalan Gambiran No 74, Giwangan, Umbuharjo",Yogyakarta
Akademi Keperawatan Columbia Asia,Jln. Sei Batang Hari No. 42 Babura Sunggal,Nan
Akademi Keperawatan Kabupaten Wajo Sulawesi Selatan,Jl Kartika Chandra Kirana 10,Nan
Stkip Muhammadiyah Muara Bungo,"Komplek Islamic Center Muhammadiyah, Jl. Rangkayo Hitam Muara Bungo",Bungo
Sekolah Tinggi Ilmu Ekonomi Lamappapoleonro Soppeng,Jalan Kemakmuran No.5,Soppeng
Akademi Sekretari & Manajemen Widya Dharma,Jalan Hos Cokroaminoto No 445,Nan
Stia Bina Nusantara Mandiri Pariaman,Jalan Pahlawan No 52 Pariaman Sumatera Barat,Pariaman
Sekolah Tinggi Ilmu Ekonomi Lhokseumawe,Jalan Merdek Barat No. I B Kuta Blang Lhokseumawe,Lhokseumawe
Universitas Krisnadwipayana,Kampus Unkris Jatiwaringin Po Box 7774/Jat.Cm,Bekasi
Akademi Kebidanan Sandi Karsa,Jalan Bung No 27 Km 9 Tamalanrea,Nan
Stt Jemaat Kristus Indonesia Salatiga,Jl. Hasanudin No. 134,Nan
Politeknik Harapan Bersama,Jalan Mataram No 9 Pesurungan Lor,Nan
Universitas Teuku Umar,#Name?,Aceh Barat
Akademi Teknologi Grafika Trisakti,Jl Jenderal Ahmad Yani Kav 85 Kampus C Trisakti,Nan
Institut Keguruan Dan Ilmu Pendidikan Mataram,Nan,Nan
Sekolah Tinggi Agama Kristen Manado,,Nan
Akademi Kebidanan Mitra Persahabatan,Jalan Persahabatan Raya No 16 Pisangan Timur,Nan
Universitas Bina Nusantara,Jl Kh Syahdan No 9 Palmerah,Administrasi Jakarta Barat
Politeknik Negeri Padang,Kampus Politeknik Negeri Padang Limau Manis,Padang
Stkip Situs Banten Di Serang,#Name?,Serang
Akademi Bahasa Asing Nasional Jakarta,Jalan Sawo Manila Pejaten Pasar Minggu,Nan
Universitas Islam Negeri Syekh Aii Hasan Ahmad Addary Padangsidimpuan,"Jalan T.Rizal Nurdin Km 4,5 Sihitang",Nan
"Stit Pagar Alam, Sumatera Selatan","Jalan Lesung Batu, Jambat Balo, Kel. Ulu Rurah, Kec. Pagaralam Selatan Sumatera",Nan
Sekolah Tinggi Ilmu Perikanan Kalinyamat,Jalan Hms No 1 Kriyan Kalinyamat,Nan
Universitas Mandiri Bina Prestasi,Nan,Medan
Universitas Nani Bili Nusantara,Nan,Sorong
Stimik Kupang,Jalan Adisucipto Penfui,Kupang
Sekolah Tinggi Ilmu Ekonomi Musi,Jalan Bangau No 60,Nan
Sekolah Tinggi Teologi Iman Jakarta,"Jalan Wijaya I Nomor 29-31, Kebayoran Baru, Jakarta Selatan",Administrasi Jakarta Selatan
Akademi Kebidanan Andi Makkasau,Jl.Lasangga No. 111,Nan
Amik Tunas Bangsa,"Jl Jend Sudirman Blok A No 1,2 & 3",Nan
Stmik Catur Sakti Kendari,Jalan Abdullah Silondae No 109,Kendari
Stkip Labuhan Batu,"Jalan Singamangaraja No 126 A Aek Tapa, Rantauprapat",Nan
Sekolah Tinggi Perikanan Dan Kelautan Palu,Jalan Soekarno-Hatta Km 6,Palu
Stmik Prabumulih,Jalan Patra No. 50 Kelurahan Sukaraja Kecamatan Prabumulih Selatan,Prabumulih
Akademi Kebidanan Singkawang,Jalan Tanjung Batu Sakok Gg Sosial I,Singkawang
Iain Salatiga,-,Salatiga
Stkip Dharmasraya,"Jln. Lintas Sumatera Km 18 Koto Baru, Dharmasraya",Nan
Sekolah Tinggi Teknik Pelita Bangsa,Jl Kebun Lada No 24 Desa Kebun Lada,Nan
Universitas Al-Khairiyah,Nan,Cilegon
Sekolah Tinggi Ilmu Administrasi Saumlaki,Kampus Ukurlaran - Lauran Saumlaki,Kepulauan Tanimbar
Universitas Kristen Satya Wacana,Jalan Diponegoro 52-60,Salatiga
Sekolah Tinggi Ilmu Ekonomi Ichsan Sidenreng Rappang,Nan,Sidenreng Rappang
Stipi Khadidjah Surabaya,-,Nan
Akmi Guna Nusantara,Jl Raya Cilegon Pci Blok A334,Nan
Poltekkes Kemenkes Jambi,Jl. Haji Agus Salim Nomor 09 Kota Baru - Jambi,Jambi
Stai Kuansing,Jalan Gatot Subroto No. 7 Kebun Nenas Teluk Kuantan Kecamatan Kuantan Tengah Kab,Nan
Akademi Perdagangan Bandung,Jl. Bintara Jaya Raya No. 10,Nan
Akademi Keperawatan Pemkab Kapuas,Jl. Kapten Pierre Tendean No. 15 Rt. 20 Kel. Selat Hilir,Kapuas
Institut Agama Islam Al-Qur'An Al-Ittifaqiah Indralaya,Jln. Lintas Timur Km. 36 Indralaya,Ogan Ilir
Akademi Keperawatan Pemprov Kaltim,Jl. Anggur No 88 Samarinda,Samarinda
Politeknik Ibnu Khaldun,Nan,Nan
Sekolah Tinggi Ilmu Ekonomi Igi,Jl Anggrek Cendrawasih Viii1,Administrasi Jakarta Barat
Sekolah Tinggi Teologi Parakletos Surabaya,"Ruko Bukit Darmo Golf R25-26, Surabaya",Nan
Stai Ali Bin Abi Thalib Surabaya,Jl. Sidotopo Kidul 51,Surabaya
Stit Jembrana Bali,Jl. Raya Negara - Pengambengan Km 2 Lelateng Negara - Bali,Nan
Stai Asy-Syafi`Iyah Nabire,Jalan Perintis Bumiwonrejo Nabire-Papua,Nabire
Politeknik Mitra Karya Mandiri,Jl.Jenderal Sudirman No. 441,Karanganyar
Sekolah Tinggi Ilmu Bisnis Kumala Nusa,"Jalan Majapahit No. 43 Ringroad Timur Wonocatur, Banguntapan, Bantul",Bantul
Universitas Linggabuana Pgri Sukabumi,Nan,Sukabumi
Sekolah Tinggi Keguruan Dan Ilmu Pendidikan An-Nur Nanggroe Aceh Darussalam,Nan,Nan
Sekolah Tinggi Ilmu Ekonomi Ykpn,Jalan Seturan Catur Tunggal Depok Sleman,Sleman
Politeknik Jatiluhur,Nan,Nan
Institut Teknologi Dan Bisnis Kristen Bukit Pengharapan,Nan,Nan
Institut Ipmi,Nan,Nan
Politeknik Batam,Jalan Yos Sudarso Batu Ampar,Nan
Stikes Syuhada Di Padangsidimpuan,"Jl. Imam Bonjol Km 5,5 Padangsidimpuan",Nan
Akademi Kebidanan Soko Tunggal,Semarang,Nan
Sekolah Tinggi Ilmu Administrasi Maulana Yusuf Banten,Jl Trip K Jamaksari No 44 Cinanggung,Nan
Akademi Keperawatan Fatima Mamuju,Jalan Soekarno Hatta No 9,Nan
Stisip Panca Bhakti Palu,Jalan Dr Soeharso No 36-A,Palu
Sekolah Tinggi Ilmu Ekonomi Aka,Jalan Ki Mangun Sarkoro No. 8 Semarang,Semarang
Stai Nahdlatul Wathan Samawa Sumbawa Besar Ntb,Jalan Cendrawasih No 50A Sumbawa Besar,Sumbawa
Sekolah Tinggi Agama Islam Darul Ulum Sarolangun,Nan,Sarolangun
Sekolah Tinggi Teologi Iksm Santosa Asih,Jl. Raya Condet No. 17 (Depan Blk Las) Balekambang - Kec. Kramat Jati Jakarta,Kepulauan Sangihe
Stai Sunan Giri Bojonegoro,Jl. Jendral A. Yani No. 10 Sukorejo - Bojonegoro,Nan
Universitas Perwira Purbalingga,Nan,Purbalingga
Sekolah Tinggi Ilmu Ekonomi Indonesia Pontianak,Jalan Imam Bonjol No. 82-88 P.O. Box 1139 Pontianak - Kalbar,Pontianak
Stikes Putra Abadi Langkat,Jl R Suprapto No 10 Stabat,Nan
Akademi Manajemen Informatika Dan Komputer Serang,Jl Kh Abdul Fatah Hasan No 32 Ciceri,Serang
Politeknik Negeri Sriwijaya,Jl Srijaya Negara Bukit Besar,Palembang
Stmik Kharisma Karawang,Jalan Pangkal Perjuangan Km 1,Nan
Poltekkes Kemenkes Banten,"Jl. Syekh Nawawi Al-Bantani, Kelurahan Banjarsari, Kecamatan Cipocok Jaya",Nan
Universitas Patompo,Jl. Inspeksi Kanal Citraland No. 10 Kecamatan Rappocini,Makassar
Universitas Muhammadiyah Gresik,Jalan Sumatera No 101 Gresik Kota Baru (Gkb) Gresik,Gresik
Stkip Nusa Bunga Floresta,Jl. Mbay Maumere Km.8 Mbay/Nagekeo - Floresta - Ntt,Nagekeo
Institut Kesehatan Medistra Lubuk Pakam,Jalan Sudirman No. 38 Lubuk Pakam,Deli Serdang
"Stit Muara Enim, Sumatera Selatan",Jl. Mayor Ruslan Kelurahan Air Lintang,Ogan Ilir
Sekolah Tinggi Ilmu Ekonomi Pelita Nusantara,Jalan Slamet Riyadi No 40,Semarang
Stia-Lembaga Administrasi Negara Jakarta,Jl. Administrasi Ii Pejompongan Jakarta Pusat,Administrasi Jakarta Pusat
Politeknik Kent,Jalan Malabar I No 11,Bogor
Universitas Pesantren Tinggi Darul Ulum,Tromol Pos 10 Peterongan Ponpes Darul Ulum Jombang,Jombang
Akademi Sains Dan Teknologi Pembangunan,"Jl Jend Sudirman No 639 Km 4,5",Nan
Sekolah Tinggi Ilmu Kesehatan Hesti Wira Sriwijaya,Nan,Palembang
Sekolah Tinggi Ilmu Ekonomi Gempol,Jl Raya Timur Pasa No 9 Gempol,Nan
Sekolah Tinggi Ekonomi Dan Bisnis Islam Syaikhona Kholil Sidogiri Pasuruan,-,Pasuruan
Sekolah Tinggi Teknologi & Desain Nahdlatul Ulama,Jalan Taman Siswa Pekeng Tahunan Jepara,Nan
Akademi Pariwisata Medan Hotel School,Jl. Ir. H. Juanda Baru No. 17 Medan,Medan
Akademi Kebidanan Pelita Ibu Kendari,Jl Syech Yusuf No 12 Mandonga,Nan
Universitas Setia Budi Mandiri,Jl Jend Abdul Haris Nasution,Nan
Akademi Komunitas Mapanawang Manado,Nan,Nan
Sekolah Tinggi Agama Buddha Negeri Raden Wijaya,"Jl. Kantil Bulusulur, Wonogiri Jawa Tengah",Wonogiri
Sekolah Tinggi Ilmu Kesehatan Tujuh Belas,Nan,Grobogan
Universitas Al Hikmah Jepara,Nan,Jepara
Sekolah Tinggi Teknologi Cahaya Surya,Jalan Kyai Mojo 33,Kediri
Sekolah Tinggi Pariwisata Riau,Jalan Pattimura No.54 Kelurahan Cintaraja Kecamatan Sail Gobah - Pekanbaru - Ri,Pekanbaru
Universitas Darwan Ali,Sampit,Kotawaringin Timur
"Stai Al-Aqidah Al-Hasyimiyah Jakarta, Jakarta Timur",Jl. Kayu Manis Barat No. 99 Matraman,Administrasi Jakarta Timur
Sekolah Tinggi Islam Blambangan Banyuwangi,Kawasan Kampus Terpadu Bumi Cempokosari No.40 Cluring-Banyuwangi Jawa Timur,Banyuwangi
Institut Teknologi Yogyakarta,Jalan Janti Km 4 Gedongkuning,Bantul
Sekolah Tinggi Teologi Misi Injili Indonesia Sintang,Nan,Sintang
Akademi Keuangan Dan Bisnis Indonesia Internasional,Jalan Ir H Djuanda No 343,Nan
Stit Al-Washliyah Binjai,Jl. Perintis Kemerdekaan No. 148 Kel. Kebun Lada,Binjai
Sekolah Tinggi Ilmu Ekonomi Ibbi,Jalan Sei Deli No 18,Nan
Sekolah Tinggi Ilmu Administrasi Asy Syafi Iyah,Jalan Ra Kartini No 18,Fak Fak
Universitas Dwijendra,Jalan Kamboja No. 17,Denpasar
